id,kel_bincil,bincil,tegese
,padewan,sri,Welas asih
,padewan,indra,"Teliti, angkuh"
,padewan,guru,"Memberi percobaan, lelemeran"
,padewan,yamadipati,"Pengertian, malas"
,padewan,rudra,Berbudi luhur
,padewan,brama,Brangasan
,padewan,kala,"Serakah, bohong"
,padewan,uma,Welas asih
,paringkelan,tungle,Tidak tepat janji
,paringkelan,aryang,Pelupa
,paringkelan,wurukung,Lengah
,paringkelan,paningron,Takabur
,paringkelan,uwas,Melikan
,paringkelan,mawulu,Sering sakit
,pandangon,dangu,"Pendiam, bodoh, kerashati"
,pandangon,jagur,"Luwes, kuat, irihati"
,pandangon,gigis,Kuat dapat menerima keadaan
,pandangon,kerangan,"Teliti, berpendirian"
,pandangon,nohan,Welasasih
,pandangon,wogan,"Tekun, hemat dan kuat pendiriannya"
,pandangon,tulus,"Jujur, banyak kemauannya"
,pandangon,wurung,Berangasan dan tidak sabaran
,pandangon,dadi,Tidak mau disaingi
,paarasan,aras tuding,Pemberani dan terpakai kinerjanya tapi sering mejual perabotnya dan suka mencuri (climut)
,paarasan,aras kembang,Larang anak tetapi dikasihi banyak orang dan mudah berpikir bekerja serta diluluti orang
,paarasan,lakuning lintang,"Pendiam, rendah hati, betah melek, berdagang dan jual bahasa tidak bisa diarahkan, sering pindah rumah"
,paarasan,lakuning rembulan,"Pandai, cekatan, luas pandangannya, diluluti orang, sukses hidupnya tetapi jangan sungkan - sungkan"
,paarasan,lakuning srengenge,"Pengertian, manis bicaranya, kreatif, selalu kalah bertengkar dan jangan banyak makan"
,paarasan,lakuning banyu,"Teguh, rajin, ramah, bisa jadi pemimpin, banyak makan dan selalu bertengkar"
,paarasan,lakuning bumi,"Pendiam, pamarah, bodoh, senang selingkuh dan welas asih tidak punya teman/saudara"
,paarasan,lakuning geni,"Pemarah, dengki, pemberani, banyak rencana dan untuk perempuan banyak celakanya"
,paarasan,lakuning angin,"Pendiam, suka disanjung, tidak teguh dan tawar doanya, sering pindah rumah dan menyenangkan orang"
,paarasan,aras pepet,"Pendiam, tajam pikirannya, termasyur karyanya, ada bakat jadi paranormal dan jarang kesampaian cita - citanya"
,pancasuda,wasesa segara,"Berjiwa besar, pemaaf, dapat menerima masukan baik / jelek dan berwibawa"
,pancasuda,tunggak semi,"Banyak rejeki, walau dipotong tetap ada rejekinya"
,pancasuda,satriya wibawa,Dimanapun selalu berwibawa dan dihormati orang
,pancasuda,sumur sinaba,Menjadi tempat menimba ilmu
,pancasuda,satriya wirang,Dimanapun selalu dipermalukan walau beritikat baikpun dan banyak halangan
,pancasuda,bumi kapetak,"Bersih hatinya kuat pendiriannya, malas dan tidak tahan lapar, harus rajin belajar"
,pancasuda,lebu katiyup angin,"Melarat, tidak kerasanan sering pindah rumah dan berkayal, baik untuk berburu"
,kamarokam,nuju padu,"Jelek, dalam segala hal sering bertengkar apa lagi untuk pernikahan"
,kamarokam,kala tinantang,"Jelek, selalu kekurangan hidupnya, sering sakit dan besar amarnya"
,kamarokam,sanggar waringin,"Baik, tentram, bahagia, banyak rejeki, berkembang, terang hatinya, menjadi pelindung"
,kamarokam,mantri sinarojo,"Baik, tercapai cita-citanya, senang hidupnya, murah sandang-pangan dan banyak anak"
,kamarokam,macan ketawan,"Cukupan, disegani tetapi juga dijauhi orang, sering kehilangan, ada niat jelek"
,kamarokam,nuju pati,"Jelek, mampat rejekinya, susah hidupnya, cepat cerai jodohnya, banyak bencana"
